"DeathAgeM","DeathAgeF"
76.937187105137,83.2740544702355
74.7943089001838,76.239760236482
78.7882177047024,81.5888828521868
74.8923624526264,81.8357328464409
81.4479752029139,79.4272019436789
82.1946601267015,83.6187334099606
74.2165284552886,74.8678261748018
85.5016190851834,87.1854713450441
88.6376027905309,84.1975172730453
63.0530026881542,75.0976191437946
83.4708032229764,84.1708790690077
53.3456298654918,102.000695205183
79.0566979555877,74.2061619189295
77.9194,78.698594
78.0267905545064,81.5861215750644
95.5246,93.803144
74.8486371231903,73.5679671180277
78.8272709614463,76.2866015888259
79.7570649420647,75.5825482393567
82.3183518507248,80.22779946154
82.5362281408549,86.6532632778293
90.5810004704959,93.7445393440011
84.1334140824496,88.7724275290926
69.9117253555564,82.7794805113899
76.3752842124357,78.3907008182001
80.6456986456261,73.0700895401029
79.3239077409595,85.5834202729614
86.189337901584,83.9520558507499
75.6490889247571,81.1091470175059
80.9226151722494,84.7007906549649
92.3782631576419,103.642062986523
74.3808887502652,70.5906027972098
97.6698199862973,89.6392927327003
77.9651079045558,77.5588947295017
74.3339017544627,76.2701774650091
78.8073746257661,80.5111332150297
71.5873880240207,70.5945661303261
84.5269327213316,82.4465433106812
87.5840160700007,92.4079755383759
78.1344980521367,78.0841580408226
79.1687628223568,81.3948935632255
74.0026291659888,74.8726498220608
72.2230207135437,66.9580014008489
69.1273567574666,62.5514169063016
81.7296231713563,68.2455525038373
73.9277,74.666977
84.8090375482666,87.0305859046866
96.7001199542233,102.233664442207
71.3446508407197,78.1638884364087
70.4029,64.154392
83.3323612479868,87.0446800755833
71.4867429502239,78.5289682246577
83.8885755037096,92.6318918234333
82.1652250634966,79.3817138926645
77.9403858659788,96.7284901557982
79.1922471455941,98.3089650213126
94.5488416956759,107.107775140791
78.5614303406812,76.72706180511
70.2204512234758,71.0751534196382
85.237002107659,89.9704239109195
73.2457978869388,80.7346503322603
81.0135662816797,90.4518709306206
77.4372924195549,75.3559389296881
92.1305118998822,103.572636523601
80.8588756089235,79.4096537062659
80.917406596343,82.936915827883
73.5529031815291,67.6535662666805
76.944,78.8827675
76.4281744922528,70.4205260464691
66.7691,69.1249555
85.4633117324234,87.0420168121846
95.7671938623893,94.1493895012665
76.3240036790826,84.5349341448417
71.986191139351,75.7360760634306
82.6075233341084,84.6540632093118
72.8583907760115,76.8762898547146
76.1637401408086,74.7059631777709
81.230922754749,76.4447824778706
76.3914729348178,76.4231560802075
85.2580960515524,94.066925765085
53.1651679112392,85.8013784879395
79.2968226642353,82.292783363597
81.302917023243,86.1458504918443
81.6340004833622,86.0322803602448
76.6768262386998,84.7213581263585
71.2859834909908,64.8864191573759
78.9931049625297,83.8446260151938
72.8597020338537,69.3600355677403
95.1388572067666,89.8883804735429
71.5061142103201,96.9742084405291
82.2744898220234,91.8919586503045
71.44485374448,76.921693102406
86.2191145298067,84.4997493438809
72.7746831212401,77.1197911905656
73.4324796775162,77.2060660928642
75.893472136672,79.8828595725485
83.5514812755504,88.9198461103824
87.5526228713485,95.1361708750774
75.796572000734,76.6331844009266
73.3985167396032,76.143592883749
86.7043744422712,86.5023772333674
72.9448553822813,68.8504064201301
74.5840405437991,80.4877086865463
80.1680498090781,87.2524983839612
78.7102340439058,83.947430230431
81.6421795582799,80.9334709423284
83.2305720678045,89.6873587356032
72.5341,75.14836825
82.1572179575075,87.4493071713532
89.772185360349,95.0972890174406
76.8601031547176,79.384362732831
89.7684346197479,91.9824102074318
75.3246854988602,74.217205692311
81.370089373847,80.2765288344818
81.8421263010771,87.0432472051098
